"month","date","lr_mean_target_pct","lr_mean_hrr_pct","lr_mean_ngmmr_pct","lr_mean_penalty_ngmmr"
119,2020-11-01,2.5,1.55161423379091,2.03115387404658,0.000219816689821535
120,2020-12-01,2.5,2.09958574052923,1.70706315308827,0.000628748843190319
121,2021-01-01,2.5,1.47386051500041,2.59360252705397,8.76143307088977e-06
122,2021-02-01,2.5,1.84558789735946,2.43197329124137,4.62763310453173e-06
123,2021-03-01,2.5,1.68168161889857,2.50364631625894,1.32956222602148e-08
124,2021-04-01,2.5,1.6414323316032,2.57862163372612,6.18136128976467e-06
125,2021-05-01,2.5,1.84939117617072,2.49276140472457,5.23972615614377e-08
126,2021-06-01,2.5,1.87509438095027,2.4337572928225,4.38809625420448e-06
127,2021-07-01,2.5,1.38040868930379,2.48864177039401,1.29009379782412e-07
128,2021-08-01,2.5,1.41323329221552,2.23373297251362,7.08981299264347e-05
129,2021-09-01,2.5,1.28222620066198,2.38840376295114,1.24537201234664e-05
130,2021-10-01,2.5,0.92439301723518,2.38268514143406,1.37627760403456e-05
131,2021-11-01,2.5,1.07353289661103,2.78848266547945,8.32222482821256e-05
132,2021-12-01,2.5,0.947128075946067,2.36183296421478,1.90901297776747e-05
133,2022-01-01,2.5,1.21643158178197,2.22256455983513,7.69704234594764e-05
134,2022-02-01,2.5,1.1676260167365,2.10087617712675,0.000159299825984955
135,2022-03-01,2.5,1.98737323940662,2.44747129867498,2.75926446289357e-06
136,2022-04-01,2.5,1.7366332298275,2.4324739233894,4.55977102242081e-06
137,2022-05-01,2.5,1.63119006694694,2.31989266976822,3.24386504032202e-05
138,2022-06-01,2.5,1.95024963021594,2.47422838694355,6.6417603953126e-07
139,2022-07-01,2.5,1.36345089013471,2.44163751635712,3.40617949696562e-06
140,2022-08-01,2.5,1.5277550045203,2.21570461364764,8.08238667012349e-05
141,2022-09-01,2.5,1.30635949569778,2.2867732772965,4.54656352748762e-05
142,2022-10-01,2.5,1.21626697811551,2.31187687369795,3.53903106496565e-05
143,2022-11-01,2.5,1.43884130397023,2.35901859190729,1.98757574278028e-05
144,2022-12-01,2.5,1.41658938651431,2.31500333866708,3.42237647043272e-05
145,2023-01-01,2.5,1.05912491086439,2.43180813491846,4.65013046329924e-06
146,2023-02-01,2.5,1.21879210740463,2.35353350791843,2.14524333026799e-05
147,2023-03-01,2.5,1.78633232285363,2.48730781629174,1.61091527284268e-07
148,2023-04-01,2.5,1.34662376345319,2.63999594153948,1.95988636475244e-05
149,2023-05-01,2.5,1.31021591050092,2.46157143925278,1.4767542811025e-06
150,2023-06-01,2.5,1.33624945887413,2.78298336896043,8.00795871081961e-05
151,2023-07-01,2.5,1.35680041501338,2.85854473943732,0.000128554330178177
152,2023-08-01,2.5,1.63312418640554,2.43834907731783,3.80083626756263e-06
153,2023-09-01,2.5,1.67502868574064,2.72474487666881,5.0510259588877e-05
154,2023-10-01,2.5,2.38893665840947,2.40683868341765,8.67903090735766e-06
155,2023-11-01,2.5,2.15731532075284,2.44130836330095,3.44470821841275e-06
156,2023-12-01,2.5,1.99073082737384,2.40030216101168,9.93965909894153e-06
157,2024-01-01,2.5,1.99680076031947,2.45883200356382,1.69480393056965e-06
158,2024-02-01,2.5,2.0940970550573,2.47543980176489,6.03203337348087e-07
159,2024-03-01,2.5,2.11747481454859,2.49075109620822,8.55422213496272e-08
160,2024-04-01,2.5,2.18294709815616,2.48154331337168,3.40649281295826e-07
161,2024-05-01,2.5,2.04748440791257,2.49834164454896,2.75014280200176e-09
162,2024-06-01,2.5,2.01758140244424,2.47836940240069,4.67882752503067e-07
163,2024-07-01,2.5,1.87352909770228,2.45043637021446,2.45655339751765e-06
164,2024-08-01,2.5,1.78883826767499,2.43476362010673,4.25578526157884e-06
165,2024-09-01,2.5,2.33014001128532,2.30228913780012,3.90895850318197e-05
166,2024-10-01,2.5,2.35875470436503,2.33233651649619,2.81110437006322e-05
