"area","month","date","threshold","q_common_tail","q_forward_tail","wedge"
"US",97,2019-01-01,4,0.187487799990639,0.177005814318499,-0.0104819856721403
"EZ",98,2019-02-01,4,0.149824378587723,0.140684601733892,-0.00913977685383061
"US",98,2019-02-01,4,0.197175511846894,0.196967946033932,-0.000207565812961707
"EZ",99,2019-03-01,4,0.118804834160927,0.107654268281106,-0.0111505658798211
"US",99,2019-03-01,4,0.218184654501277,0.209754225407472,-0.0084304290938053
"EZ",100,2019-04-01,4,0.17646340744812,0.168667774861671,-0.00779563258644913
"US",100,2019-04-01,4,0.229925090608071,0.222412348586079,-0.007512742021992
"EZ",101,2019-05-01,4,0.17310450760891,0.168058760570718,-0.00504574703819175
"US",101,2019-05-01,4,0.224809659495122,0.212735426086735,-0.0120742334083867
"EZ",102,2019-06-01,4,0.159755258878482,0.154618975649673,-0.00513628322880896
"US",102,2019-06-01,4,0.198768423221375,0.188080343598853,-0.010688079622522
"EZ",103,2019-07-01,4,0.128978510683674,0.129150328446281,0.00017181776260648
"US",103,2019-07-01,4,0.170448236803965,0.160613530508227,-0.00983470629573772
"EZ",104,2019-08-01,4,0.12754550186695,0.130207086268927,0.00266158440197756
"US",104,2019-08-01,4,0.174180929112059,0.171461116831082,-0.00271981228097641
"EZ",105,2019-09-01,4,0.1138866287975,0.189958799561155,0.0760721707636549
"US",105,2019-09-01,4,0.194622439663453,0.199515124209024,0.00489268454557104
"EZ",106,2019-10-01,4,0.109990385228545,0.120544063525724,0.0105536782971796
"US",106,2019-10-01,4,0.111252325228019,0.111085468773637,-0.000166856454382336
"EZ",107,2019-11-01,4,0.122789533289723,0.125064444859942,0.00227491157021876
"US",107,2019-11-01,4,0.193751256417692,0.218629456002886,0.0248781995851942
"EZ",108,2019-12-01,4,0.0944865349236759,0.0866099272773295,-0.00787660764634639
"US",108,2019-12-01,4,0.185540558629951,0.230866881262083,0.0453263226321325
"EZ",109,2020-01-01,4,0.14531622401968,0.150578032794846,0.00526180877516592
