"area","month","threshold","zc_slot","lower","upper","hrr","below","above"
"EZ",43,4,"N",0.0604172729618896,0.391974355331529,0.0854105831528904,FALSE,FALSE
"EZ",44,4,"N",0.0646332168439967,0.382031119949297,0.0838975779215766,FALSE,FALSE
"EZ",45,4,"N",0.0509466059913642,0.363761785406876,0.0634403783623982,FALSE,FALSE
"EZ",46,4,"N",0.0313142526339542,0.31416081331781,0.0506010099894236,FALSE,FALSE
"EZ",47,4,"N",0.0228857798666442,0.277413359774978,0.0415534014749402,FALSE,FALSE
"EZ",48,4,"N",0.0185784005201423,0.263336312264651,0.0586851126956639,FALSE,FALSE
"EZ",49,4,"N",0.0160165857962168,0.304216384820143,0.0546149337537383,FALSE,FALSE
"EZ",50,4,"N",0.012204322825467,0.289413094824795,0.0456410921420574,FALSE,FALSE
"EZ",51,4,"N",0.0127269963173264,0.248553998637566,0.0463356761071182,FALSE,FALSE
"EZ",52,4,"N",0.0135499978722792,0.246212039244528,0.0377737722666284,FALSE,FALSE
"EZ",53,4,"N",0.0232073016205839,0.321336107399807,0.0610948120764388,FALSE,FALSE
"EZ",54,4,"N",0.0231567916689245,0.317149223524748,0.0583483773475998,FALSE,FALSE
"EZ",55,4,"N",0.0227875471783879,0.327422149386268,0.0672918024720897,FALSE,FALSE
"EZ",56,4,"N",0.0156427301796686,0.314901047701259,0.0509769707647986,FALSE,FALSE
"EZ",57,4,"N",0.0161603285496184,0.318705459964759,0.0465769683322034,FALSE,FALSE
"EZ",58,4,"N",0.0123898578968002,0.273864136056993,0.0297817727611064,FALSE,FALSE
"EZ",59,4,"N",0.0205793525443904,0.270650073399626,0.0406719458871195,FALSE,FALSE
"EZ",60,4,"N",0.022220267140782,0.285321994577782,0.0459198250423025,FALSE,FALSE
"EZ",61,4,"N",0.0224204331768578,0.285373068512174,0.0366258675448855,FALSE,FALSE
"EZ",62,4,"N",0.020168710899096,0.242026680666761,0.0363382202604074,FALSE,FALSE
"EZ",63,4,"N",0.0154596558563596,0.230707757930353,0.0351494008143612,FALSE,FALSE
"EZ",64,4,"N",0.0102531345611364,0.21259934059505,0.0259924936731143,FALSE,FALSE
"EZ",65,4,"N",0.00860486363442736,0.178692995960701,0.0244553432788422,FALSE,FALSE
"EZ",66,4,"N",0.00823907315158212,0.18436086075561,0.0212043776065694,FALSE,FALSE
"EZ",67,4,"N",0.0072002280639516,0.162443854097737,0.0111896141389162,FALSE,FALSE
"EZ",68,4,"N",0.0059452989454104,0.166415320850304,0.00934875160363664,FALSE,FALSE
"EZ",69,4,"N",0.00602429079876499,0.147636747010266,0.00871291643713782,FALSE,FALSE
"EZ",70,4,"N",0.0135694437555445,0.12372754689763,0.00798569037424413,TRUE,FALSE
"EZ",71,4,"N",0.00623647519345627,0.139741870015785,0.00978413482527701,FALSE,FALSE
"EZ",72,4,"N",0.0126168658172302,0.164415667803188,0.0185057009767515,FALSE,FALSE
"EZ",73,4,"N",0.0122986486823489,0.197122323027799,0.0259692904965376,FALSE,FALSE
"EZ",74,4,"N",0.0129391673307483,0.225516494527204,0.0279152392174204,FALSE,FALSE
"EZ",75,4,"N",0.0105390376792198,0.191394859256556,0.0246660547959286,FALSE,FALSE
"EZ",76,4,"N",0.00882127730658622,0.170228937096159,0.0256124976463103,FALSE,FALSE
"EZ",77,4,"N",0.00742093268022681,0.165107045761651,0.0219750609571,FALSE,FALSE
"EZ",78,4,"N",0.00735817104320879,0.164451245626894,0.0203183959310979,FALSE,FALSE
"EZ",79,4,"N",0.00705587125413576,0.160290424966712,0.019002157932038,FALSE,FALSE
"EZ",80,4,"N",0.00689081224269195,0.166146391319628,0.01496444653247,FALSE,FALSE
"EZ",81,4,"N",0.00683147016141583,0.161665077033141,0.0145282588743336,FALSE,FALSE
"EZ",82,4,"N",0.00688349044376146,0.167525523120274,0.0148267142347487,FALSE,FALSE
"EZ",83,4,"N",0.0074203580330312,0.172346457546442,0.0154751983579212,FALSE,FALSE
"EZ",84,4,"N",0.0078833687657226,0.184533415686554,0.0165817064356023,FALSE,FALSE
"EZ",85,4,"N",0.00879802807114871,0.217147319594539,0.0187442407244805,FALSE,FALSE
"EZ",86,4,"N",0.00868071773288814,0.211012090678251,0.0181849061875376,FALSE,FALSE
"EZ",87,4,"N",0.00624236499029152,0.193497442131015,0.0132108161602373,FALSE,FALSE
"EZ",88,4,"N",0.006927937333017,0.179120981524787,0.0109408658170926,FALSE,FALSE
"EZ",89,4,"N",0.00717861982394574,0.196429308093235,0.0121453359808785,FALSE,FALSE
"EZ",90,4,"N",0.00900449513769064,0.19905507641004,0.0277892050087813,FALSE,FALSE
