"month","objective_ngmmr_24","objective_hrr_24","rmse24_hrr_pp","rmse24_ngmmr_pp","rmse5_hrr_pp","rmse5_ngmmr_pp","rmse10_hrr_pp","rmse10_ngmmr_pp","rmse_fwd_hrr_pp","rmse_fwd_ngmmr_pp","qtail0_5y_target","qtail0_5y_hrr","qtail0_5y_ngmmr","qtail4_5y_target","qtail4_5y_hrr","qtail4_5y_ngmmr","qtail0_10y_target","qtail0_10y_hrr","qtail0_10y_ngmmr","qtail4_10y_target","qtail4_10y_hrr","qtail4_10y_ngmmr","qtail0_5y5y_target","qtail0_5y5y_hrr","qtail0_5y5y_ngmmr","qtail4_5y5y_target","qtail4_5y5y_hrr","qtail4_5y5y_ngmmr","qtail4_5y5y_moment_proxy","qtail4_5y5y_lower_bound","qtail4_5y5y_upper_bound","qtail4_5y5y_bound_violation_hrr","qtail4_5y5y_bound_violation_ngmmr","fwd_proxy_weight","fwd_bounds_weight","tail_bin_weight","fwd_bin_weight","fwd_tail_bin_weight","tail_moment_weight","tail_weight_side","valid_A","label","date"
48,0.00210490968049233,0.0112988915808091,10.7634831317356,4.95836778589796,12.7910415972143,2.53057853979797,8.98176144658631,3.35950896350662,10.1624270504847,7.48773030221606,0.0404850740876794,0.170602886490161,0.000915466191217656,0.00575022845248263,0.00499850309988016,0.00379022563112753,0.026407258757782,0.0381163794106318,1.08066529722923e-05,0.0139542609887892,0.0107100411175174,0.0211196079142009,0.17700622990486,0.0605660260516517,0.000218608050045944,0.221446964776732,0.0771312739864967,0.203533706876366,0.221446964776732,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2014-12",2014-12-01
49,0.00213577100156437,0.00721681110053851,8.43084230610854,4.98878178113017,8.60756003153348,1.50627278239088,9.39868040995442,3.66082071635235,7.12825524420214,7.68071383186243,0.0707767795011971,0.222249772967341,0.0489915717517925,0.00519625377363875,0.00371539238783741,0.000104762601314527,0.0386492279045188,0.065034140695347,0.00459924412304147,0.0114218369331344,0.00911413265093608,0.0185591395398854,0.192906237834867,0.134121467808146,0.0069048835120019,0.218227534161811,0.0763651519904318,0.190049913550773,0.218227534161811,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-01",2015-01-01
50,0.00182268861082585,0.00822973759986646,9.09248089806867,4.42118556659487,9.35522433859457,2.0371321751197,8.30672311767425,4.37247344398095,9.56544590001402,5.94745440718749,0.0625231299513746,0.195124265765872,0.0839551740389179,0.00849819335773572,0.00356743968853517,8.86650928724121e-10,0.0365960110005864,0.0493628768872188,0.0712596402237688,0.017295498774344,0.00781659082960933,0.0214959067368899,0.213229244155051,0.0991043724325133,0.13667479827346,0.215730736864813,0.0629113307220416,0.172615291609552,0.215730736864813,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-02",2015-02-01
51,0.00161213273921753,0.0115982557052399,10.9245633409214,4.14302510649507,12.5258731584303,1.08514442808082,8.38919735859787,3.72857682117446,11.435126665972,6.03441360514435,0.0413175755343834,0.167067635731811,0.0377635440196325,0.00901181328346523,0.0039204455187542,1.59802439384017e-05,0.0301565410900067,0.0365790995053472,0.0181512918555648,0.0183723330366322,0.00826244056424635,0.0241453140247151,0.201724622604114,0.0569612535185246,0.0851668462962558,0.215752676497356,0.0617945587680993,0.165030014929902,0.215752676497356,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-03",2015-03-01
52,0.0023147198747677,0.0080466742952978,9.00546243887326,4.69766169538787,8.02432830876459,1.66583609766668,8.29243710701997,3.96406535219819,10.4947941015129,6.90762275983249,0.0325798176819907,0.0913990387481857,0.00786863533245498,0.0144871021218075,0.0146741924442952,0.00421760420690345,0.0257483712992249,0.0243945651728462,0.0287533959274395,0.0224546748259687,0.012603010979347,0.0315693463587514,0.202725493663792,0.095868438551827,0.124379724187047,0.222158457093078,0.0518424877822911,0.118839831055679,0.222158457093078,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-04",2015-04-01
53,0.00221915744222929,0.0073598141576241,8.47740871178117,4.40350944742817,7.26005461665632,1.47486655910166,7.16706447842393,3.78030937362824,10.5605004201994,6.45807370918523,0.0386336925142718,0.0935206457836938,0.0354945666789195,0.0204304726013009,0.0240810402116987,0.0115893032895888,0.0326316048222704,0.0247760212128714,0.0683194404101393,0.0358272667327466,0.0217098755745449,0.0459862053197979,0.217906858950068,0.0878174273195455,0.155849774702833,0.263247074632631,0.0804248015722431,0.148747115309964,0.263247074632631,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-05",2015-05-01
54,0.00225656833385423,0.00700987320905351,8.20493054933952,4.42191081273674,7.30206725676209,1.33363145455468,6.99931266012584,3.9801468236854,9.98258944472723,6.4062269794883,0.0439801912972784,0.108359183435564,0.0234137261983229,0.0181778501986011,0.02200674462153,0.00798613787858854,0.0392644232685446,0.0304969316534424,0.074149470001661,0.0343887656832828,0.0198286205828623,0.0445679479769379,0.228650621946431,0.1076282597874,0.167086583752323,0.259234606846465,0.0782279353898078,0.148566794295062,0.259234606846465,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-06",2015-06-01
55,0.00228322031553304,0.00743277835521948,8.53370377067858,4.4007883423901,7.69873559176148,1.88891895449327,7.30501818039569,3.62239914546022,10.2877830366564,6.43513975900096,0.0344506931784301,0.0938300895493595,0.0250852500654481,0.0211873841084529,0.0264540938084347,0.0103501027478036,0.0316277828889497,0.0247899824587612,0.0602175142800154,0.036209878301819,0.0242003369899897,0.0467255648344571,0.212011221203725,0.0851914202471068,0.151535736019204,0.267931030631325,0.0878291792380044,0.151945962330051,0.267931030631325,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-07",2015-07-01
56,0.00260744410625942,0.00689764966640631,8.0547946205916,4.83927102648194,7.29103322970087,2.29958533666323,8.01258802436356,3.37630227623745,8.79081433855578,7.31902469063467,0.0524700062894855,0.132094192853149,0.0819557662561021,0.0179845208702536,0.0165002783193767,9.10037331958199e-05,0.03699922720722,0.0408793590863312,0.0903890456120407,0.0274937571412532,0.0153561964583481,0.0376340692857264,0.216629994139662,0.135069482883558,0.097825528321799,0.254164242369775,0.0712195128244489,0.172660689249648,0.254164242369775,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-08",2015-08-01
57,0.00220142948695206,0.00633585964230854,7.66880329796696,4.83671967625855,6.3512207216224,2.77572563336767,8.16681199869296,2.34614370849951,8.33047472788712,7.54801487726764,0.05855113161163,0.143709924351573,0.0599955432506554,0.0142827026610219,0.0131722994853182,2.19294661924094e-06,0.0391131553537105,0.0464299895539092,0.00281956305660394,0.0249780114347498,0.012790587619738,0.0331428961980369,0.218385617773222,0.147177975574687,0.0163351285793533,0.247093715205627,0.0668134993483521,0.205620434757542,0.247093715205627,NA,NA,NA,NA,0,0,2,0.75,2,2,"high",TRUE,"2015-09",2015-09-01
