"area","month","date","threshold","horizon","q_target","q_ngmmr","q_hrr_form_refit"
"US",69,2016-09-01,5,"10y",0.00660266186640601,0.00195747685535269,2.71625836256998e-05
"US",70,2016-10-01,5,"10y",0.00874442220937799,0.00329218953361896,5.18134957835572e-05
"US",71,2016-11-01,5,"10y",0.0106958333449745,0.00237454504804284,7.32272943805678e-05
"US",72,2016-12-01,5,"10y",0.0161200495225291,0.00359851415831811,0.0237666637855699
"US",73,2017-01-01,5,"10y",0.0165109298851337,0.0044262744424548,0.0169986572429925
"US",74,2017-02-01,5,"10y",0.0169054919672413,0.00499609353469123,0.0121553771030491
"US",75,2017-03-01,5,"10y",0.0156934497609619,0.00432432722326892,0.0136137179331368
"US",76,2017-04-01,5,"10y",0.0141775697788071,0.00338870125884983,0.0145338341172406
"US",77,2017-05-01,5,"10y",0.013119275148824,0.000438128878739933,0.00011220507043432
"US",78,2017-06-01,5,"10y",0.00983578402099705,3.59813843668321e-06,7.0826931772427e-05
"US",79,2017-07-01,5,"10y",0.00706636723544707,9.32686842817808e-30,5.5190610855991e-05
"US",80,2017-08-01,5,"10y",0.00685075603955265,4.61595326618246e-18,5.46409649013399e-05
"US",81,2017-09-01,5,"10y",0.00668193578016407,1.70079909484659e-30,0.00550984479673066
"US",82,2017-10-01,5,"10y",0.00735358824059695,1.13731641953103e-34,0.00317498224641104
"US",83,2017-11-01,5,"10y",0.0075467235315555,3.37602021270816e-09,0.00654947133764411
"US",84,2017-12-01,5,"10y",0.00620714670080202,7.67126343806827e-08,0.00491137808955805
"US",85,2018-01-01,5,"10y",0.00692967778354359,7.2691784864117e-09,0.00686714148868856
"US",86,2018-02-01,5,"10y",0.00743027337248336,3.23742482303845e-06,0.00974338557910404
"US",87,2018-03-01,5,"10y",0.00756431782418221,2.57089880656786e-06,0.00243775061315877
"US",88,2018-04-01,5,"10y",0.00783779996092648,9.16154622017173e-07,0.00529424477876041
"US",89,2018-05-01,5,"10y",0.00749515427924541,1.0356146352734e-07,0.0061089028142481
"US",90,2018-06-01,5,"10y",0.00712786675708432,5.02759940525066e-06,0.00127023288124134
"US",91,2018-07-01,5,"10y",0.0068311581052114,1.44544149140892e-26,9.74326749573265e-06
"US",92,2018-08-01,5,"10y",0.00640252996652912,2.0262736996965e-06,7.90155377419041e-06
"US",93,2018-09-01,5,"10y",0.00619950885699838,2.94682278000625e-08,4.50767963729745e-05
"US",94,2018-10-01,5,"10y",0.00686508915729167,0.00269050821444679,1.05240088273451e-05
"US",95,2018-11-01,5,"10y",0.00529632124823443,8.48419451415406e-08,0.000488072390267326
"US",96,2018-12-01,5,"10y",0.00467724487685872,3.04619060012155e-34,2.95692074959774e-05
"US",97,2019-01-01,5,"10y",0.00247652654642305,3.4855535060468e-19,1.32079899275766e-05
"US",98,2019-02-01,5,"10y",0.00340851765647188,2.87077947828871e-32,2.2274473243904e-05
"US",99,2019-03-01,5,"10y",0.00358446713403571,2.83620409206791e-10,2.50972161907208e-05
"US",100,2019-04-01,5,"10y",0.00338283108626469,1.96223241310276e-09,2.20392807656662e-05
"US",101,2019-05-01,5,"10y",0.00332480183321959,3.88968536101287e-33,2.15851398020181e-05
"US",102,2019-06-01,5,"10y",0.00256700491158657,1.01410901170601e-19,1.43476114656459e-05
"US",103,2019-07-01,5,"10y",0.00240678387665949,2.63850803682639e-21,1.22269651672329e-05
"US",104,2019-08-01,5,"10y",0.00229524575712559,3.28835763271495e-38,1.12891142012695e-05
"US",105,2019-09-01,5,"10y",0.00197617819118234,0.000485936837881244,7.83470109737095e-06
"US",106,2019-10-01,5,"10y",0.00142396517453358,0.000193223666166974,0.00214555887238243
"US",107,2019-11-01,5,"10y",0.0019441349781405,1.60147418096561e-15,1.08841416493713e-11
"US",108,2019-12-01,5,"10y",0.00213763527743083,0.000170680683243964,8.81044494143015e-12
"US",109,2020-01-01,5,"10y",0.00221950723550823,2.28939818549249e-11,5.27657778876262e-12
"US",110,2020-02-01,5,"10y",0.00185276966600267,3.4915652721311e-19,4.15757806893392e-11
"US",111,2020-03-01,5,"10y",0.00141318563103299,0.000308636123730649,0.00703720963405465
"US",112,2020-04-01,5,"10y",0.00224609333554282,5.0707959587647e-22,1.15344590013658e-06
"US",113,2020-05-01,5,"10y",0.00375105704063161,2.16469051898045e-09,0
"US",114,2020-06-01,5,"10y",0.0042877226346264,7.29496666106281e-16,0.00309511354911707
"US",115,2020-07-01,5,"10y",0.00709030726395588,0.000573853102282437,1.12995616924736e-05
"US",116,2020-08-01,5,"10y",0.00851596450888692,6.65419831988532e-08,1.58491760573727e-05
"US",117,2020-09-01,5,"10y",0.010116156524041,0.000842749361013188,1.98213137835088e-05
"US",118,2020-10-01,5,"10y",0.0144365240666233,0.000353542823507598,3.44391691257909e-05
"US",119,2020-11-01,5,"10y",0.015826536810467,0.000191922611778063,4.18821343147804e-05
"US",120,2020-12-01,5,"10y",0.0179926004151146,0.00435418958575177,5.28615159386917e-05
"US",121,2021-01-01,5,"10y",0.020508902074254,1.12557617856583e-05,6.52680613354737e-05
"US",122,2021-02-01,5,"10y",0.0229802786725399,0.000161454549832223,9.5210436889071e-05
"US",123,2021-03-01,5,"10y",0.0114798642632887,0.000919043450748764,0.00382884547130869
"US",124,2021-04-01,5,"10y",0.0260804294343573,6.398877171238e-80,0.000119908113392876
"US",125,2021-05-01,5,"10y",0.0290091173641999,1.1616899310726e-08,0.000501971969671368
"US",126,2021-06-01,5,"10y",0.0286251812573802,1.56724233631712e-06,5.81765320378617e-05
"US",127,2021-07-01,5,"10y",0.0267562959298187,2.79926773026519e-08,4.67609683158366e-05
"US",128,2021-08-01,5,"10y",0.0267051093300641,8.01113538863277e-06,3.27619445325838e-05
"US",129,2021-09-01,5,"10y",0.0267142429107996,5.91507455625551e-05,3.44193330809938e-05
"US",130,2021-10-01,5,"10y",0.0293211716974391,2.58656240603297e-06,6.64420531163422e-05
"US",131,2021-11-01,5,"10y",0.0397915073467277,1.13630392868503e-10,0.00858017855931302
"US",132,2021-12-01,5,"10y",0.0343570931414213,6.09423250205157e-05,0.000231066992447401
"US",133,2022-01-01,5,"10y",0.0527153970052371,0.000173619763114345,0.00204847396965363
"US",134,2022-02-01,5,"10y",0.0401249263443075,7.31074192029864e-05,9.8005333171509e-05
"US",135,2022-03-01,5,"10y",0.0722940107544844,0.0165073191636599,0.0108482975301922
"US",136,2022-04-01,5,"10y",0.0685770404108669,0.0194745246732596,0.0445763629047783
"US",137,2022-05-01,5,"10y",0.0595878702272591,0.0112144428912363,0.0417122182810093
"US",138,2022-06-01,5,"10y",0.0694790533822099,0.0124997780185103,0.0333363622784335
"US",139,2022-07-01,5,"10y",0.0411485418234421,4.75879632192989e-05,0.000121006870540524
"US",140,2022-08-01,5,"10y",0.0452963952041827,0.00071693011111844,0.00242309404475009
"US",141,2022-09-01,5,"10y",0.0457228045865652,0.0145222216938618,0.000171199126197456
"US",142,2022-10-01,5,"10y",0.0338155882160611,2.91099603910393e-09,5.4198592492491e-05
"US",143,2022-11-01,5,"10y",0.0561637558817062,2.91411170122086e-06,7.62629712796467e-05
"US",144,2022-12-01,5,"10y",0.0576116432811385,0.0278470154967012,0.000477865178376326
"US",145,2023-01-01,5,"10y",0.044236186015551,0.00672235136551904,7.22138762466888e-05
"US",146,2023-02-01,5,"10y",0.05469810583956,0.0245326911395225,0.000329167821522869
"US",147,2023-03-01,5,"10y",0.0685783995993126,0.0340693338662077,0.0458423234032572
"US",148,2023-04-01,5,"10y",0.0609048811918597,0.0305230276649478,0.0462185455847378
"US",149,2023-05-01,5,"10y",0.0634255842955165,0.0228705372102387,0.0450236053675296
"US",150,2023-06-01,5,"10y",0.0633509702630243,0.0209259259040034,0.0354568086773438
"US",151,2023-07-01,5,"10y",0.0574835128973195,0.0205642616434995,0.020965829646292
"US",152,2023-08-01,5,"10y",0.067026756419008,0.0308635289353342,0.0360064288982474
"US",153,2023-09-01,5,"10y",0.0657163084649381,0.0275977580120111,0.035760738907399
"US",154,2023-10-01,5,"10y",0.0680704911710096,0.029545721548466,0.0344787555083905
"US",155,2023-11-01,5,"10y",0.0582782309231871,0.0255879144851692,0.0311036285745641
"US",156,2023-12-01,5,"10y",0.0603588251897873,0.0254567550510275,0.0321373662630818
"US",157,2024-01-01,5,"10y",0.0617088093983722,0.0198786888514562,0.0334104882075648
"US",158,2024-02-01,5,"10y",0.0649858632539595,0.034100800785415,0.0246823372743029
"US",159,2024-03-01,5,"10y",0.0631023529322235,0.0270655300738252,0.0339774173379774
"US",160,2024-04-01,5,"10y",0.068181465564606,0.0290079607769388,0.0388599764524969
"US",161,2024-05-01,5,"10y",0.0675762571324858,0.0235590191270665,0.0374997235980217
"US",162,2024-06-01,5,"10y",0.0635053057244466,0.0187160192692583,0.000703004249680566
"US",163,2024-07-01,5,"10y",0.0605286776321794,0.0175196343680468,0.00356594440208151
"US",164,2024-08-01,5,"10y",0.05480869538887,0.0158955898116132,0.00124775212176836
"US",165,2024-09-01,5,"10y",0.0570994919641598,0.0162177019063092,0.000532891901258709
"US",166,2024-10-01,5,"10y",0.0620685043602708,0.0180975255593828,0.0167490606699753
"US",1,2011-01-01,5,"5y",0.0521031061275116,0.0555913730028831,0.0690949042799523
"US",2,2011-02-01,5,"5y",0.0901053434575277,0.0948654122834124,0.149925199555873
"US",3,2011-03-01,5,"5y",0.100155292127887,0.102591385564188,0.150059164924593
"US",4,2011-04-01,5,"5y",0.100595442658221,0.168964697279617,0.155963340775309
"US",5,2011-05-01,5,"5y",0.127634114336502,0.200453866331582,0.175657577642489
"US",6,2011-06-01,5,"5y",0.0596826924577617,0.0576146949752809,0.187378235377666
