"area","month","date","psi","threshold","q_5y","q_10y","q_5y5y","qr_5y","qr_10y","qr_5y5y","qrh_5y","qrh_10y","q_data_n_5y","q_data_n_10y","q_data_r_5y","q_data_r_10y","p_5y","p_10y","p_5y5y","ez_converged","ratio_5y","ratio_10y","ratio_5y5y"
"EZ",124,2021-04-01,1.5,5,1.38694459063256e-11,9.28643336474507e-17,4.00702302590993e-07,1.5183644460098e-11,1.08293364268043e-16,4.30185481175203e-07,1.72653134287105e-11,1.38339254189398e-16,0.00172629131016078,0.00123767791936957,0.00220224427048953,0.00193103084258472,5.35071782734751e-12,1.53703309099662e-17,1.54503978484069e-07,TRUE,0.352400100081964,0.141932342889655,0.359156655082796
"EZ",125,2021-05-01,1.5,4,0.00249135964444663,0.0198417361683287,0.0882568970438915,0.00259797284109716,0.0207648387356356,0.0911001312767562,0.0028458369297868,0.0253562328032144,0.0125077360114479,0.0117025610863126,0.0144973224885423,0.0152348716798518,0.00100960978945727,0.00714357383191208,0.0502310862822618,TRUE,0.388614451039027,0.344022601035309,0.551383248062102
"EZ",125,2021-05-01,1.5,5,1.02704840637515e-08,0.000229331531116773,0.0205656117821059,1.09662830355505e-08,0.000248207363668207,0.0216142192275956,1.26455127903262e-08,0.000339861069476649,0.00237861323425903,0.00123427585161673,0.00300511523328918,0.00188034418073676,1.6753688814815e-09,2.21509670209969e-05,0.00597247669170866,TRUE,0.152774543211249,0.0892437947594792,0.27632164867114
"EZ",126,2021-06-01,1.5,4,0.0060124260659082,0.021482620804727,0.0952921913923303,0.00630259445985878,0.0229719806805395,0.0992680827318883,0.00684655493670534,0.027304591275441,0.0146529700980416,0.0132448773926801,0.0168833776313941,0.0172735420905638,0.00310946384096671,0.00841358024027434,0.0566387403953338,TRUE,0.49336251297317,0.366254018635922,0.570563456416385
"EZ",126,2021-06-01,1.5,5,1.90498865514782e-07,0.000327809693132405,0.0238926547859731,2.09496893443422e-07,0.000373107626880153,0.0256485741280321,2.33822207543147e-07,0.000482884452638487,0.00253153064978784,0.0016060207277655,0.00317347093610535,0.00246326137890345,4.26710481957446e-08,4.17807292961515e-05,0.0084419278338985,TRUE,0.203683441288205,0.111980367824462,0.32913829017388
"EZ",127,2021-07-01,1.5,4,2.55220841467671e-05,0.0127799706582853,0.139361159452471,2.64538786315693e-05,0.0134825613411002,0.144007672071975,2.89991756709372e-05,0.0161207667945095,0.0134589150501125,0.0142537755513464,0.0155399007824162,0.018513095499401,3.04813474098973e-05,0.00405783181556808,0.0903169204802668,TRUE,1.15224492538201,0.300968911834148,0.627167422268493
"EZ",127,2021-07-01,1.5,5,2.32098055856344e-09,2.04764001511106e-09,0.033414060511269,2.46651396017245e-09,2.22621279661468e-09,0.0349085118586525,2.84256254602488e-09,3.00091440152141e-09,0.00243156550710499,0.00158841575374524,0.00305696258109325,0.00242095158338392,8.37938803046783e-10,3.81315724180588e-10,0.013744667492816,TRUE,0.339725951921309,0.171284490305887,0.393733985237451
"EZ",128,2021-08-01,1.5,4,3.82671269465985e-13,0.0161138249646362,0.100027850179521,4.01795340190511e-13,0.0167800558319769,0.10282007471766,4.38967222090324e-13,0.0205078844268555,0.0144343353772615,0.0136387264520549,0.0165924988973043,0.0177093474877833,1.85170087818938e-13,0.00348560099297349,0.0486451130895335,TRUE,0.460856733010244,0.20772284835496,0.473109100757912
"EZ",128,2021-08-01,1.5,5,5.69290084328975e-14,2.09332551605026e-14,0.0388101754575796,6.03862510350318e-14,2.27000765792104e-14,0.0401729912026581,6.95839156059558e-14,3.09530293085542e-14,0.00251807898130585,0.00171730861358921,0.00315208841279738,0.00262999610690033,1.47483441048475e-14,2.16318295419895e-15,0.0129281281406242,TRUE,0.24423347785395,0.0952940817908992,0.321811439815535
"EZ",129,2021-09-01,1.5,4,0.0114096338115288,0.0231970462504071,0.114360460952873,0.0119787402169538,0.0246606948682965,0.118683936902621,0.0130673232093789,0.0290766831570945,0.0204682470267435,0.0176115071908672,0.0232225978369151,0.0225068122460727,0.00768849279949037,0.00605065285156112,0.0580131506459572,TRUE,0.64184485682465,0.245356137930232,0.488803726603342
"EZ",129,2021-09-01,1.5,5,0.00267944942952233,0.000776521537682287,0.0416069422907204,0.00284839386783509,0.000856413949849977,0.043711179076321,0.00324833590934844,0.00112476930276496,0.00289325846914323,0.00199384956776327,0.00356373279489534,0.00299887394449346,0.000956582127623362,0.000114662923066192,0.0137315989884551,TRUE,0.335832111712278,0.133887266883355,0.314143870712783
"EZ",130,2021-10-01,1.5,4,0.0252698950402979,0.0233174302241269,0.114753335146137,0.0262135317106079,0.0246419488879769,0.118240541321305,0.0287827583173854,0.0289441767508584,0.0265968582193116,0.0240337310742295,0.0298479272935597,0.0301543919291123,0.0152106869611756,0.00616028112062113,0.0609920479452626,TRUE,0.580260879346535,0.249991636157755,0.515830249622452
"EZ",130,2021-10-01,1.5,5,0.00972676067278939,0.00146860004653092,0.0371414297838598,0.0102285063509017,0.00160181989929336,0.0387185049591284,0.0115942060452214,0.00209664044468043,0.00397192214974718,0.00264120564458081,0.00485810253919027,0.00389434270584191,0.00323814547585142,0.000190959057995129,0.0134264564437754,TRUE,0.3165804825028,0.119213813038139,0.346771045471629
"EZ",131,2021-11-01,1.5,4,0.032808041329982,0.0300125776500802,0.127571352883494,0.0338734691086828,0.0313136346507556,0.130106492800809,0.037127589883919,0.0369689771491009,0.0331101001496676,0.0289193820970652,0.0368117088950439,0.0356176771489423,0.020636311332152,0.00814722357576832,0.0677144258848686,TRUE,0.609217534405484,0.260181344856169,0.520453856123369
"EZ",131,2021-11-01,1.5,5,0.0132282036238161,0.00250023488948079,0.0442019411613495,0.0138035788190108,0.00268615382935335,0.0455016826508083,0.0156444776515876,0.00353055650663681,0.00444417063648295,0.00283329001124966,0.00538307324025594,0.00411177103104243,0.00445047969113365,0.000341637952214938,0.015868198191636,TRUE,0.322414914964248,0.127184805457393,0.348738711783753
