"month","date","label","q_5y_gt4","q_10y_gt4","q_5y5y_gt4","q_data_5y_gt4","q_data_10y_gt4","q_data_5y5y_gt4","q_real_5y_gt4","q_real_10y_gt4","q_real_5y5y_gt4","q_data_real_5y_gt4","q_data_real_10y_gt4","q_data_real_5y5y_gt4","p_5y_gt4","p_10y_gt4","p_5y5y_gt4","q_5y_lt0","q_10y_lt0","q_5y5y_lt0","q_data_5y_lt0","q_data_10y_lt0","q_data_5y5y_lt0","q_real_5y_lt0","q_real_10y_lt0","q_real_5y5y_lt0","q_data_real_5y_lt0","q_data_real_10y_lt0","q_data_real_5y5y_lt0","p_5y_lt0","p_10y_lt0","p_5y5y_lt0","psi","ez_converged","ez_iter","ez_err","model"
21,2012-09-01,"2012-09",0.113419878571624,0.184257538760734,0.365868383475249,0.12651765285758,0.167538037713377,0.376428668449226,0.11725946321319,0.191171435383992,0.376564242172071,0.147012855553111,0.221853495104799,0.376428668449226,0.0409242780410785,0.0527618125567344,0.147067999616702,0.162309839313922,0.0618592565974443,0.103747522435135,0.0551848625068624,0.0671031165643943,0.275480080136,0.153393115367895,0.0554353734341533,0.0961402967502251,0.0473054854144884,0.0470122595056606,0.275480080136,0.165363356804045,0.0691335511166686,0.129391873647213,1.5,TRUE,1565,9.96500659766753e-11,"baseline_6p"
22,2012-10-01,"2012-10",0.119555174672628,0.198710733379627,0.365304887743547,0.13089721649505,0.183012029872382,0.3800291096498,0.12335352841794,0.205615424666009,0.376000315067324,0.150692935215,0.237665816785607,0.3800291096498,0.0374082966629103,0.0497684703606662,0.128337052617008,0.172747295592779,0.0832491088961583,0.130234275429439,0.0565951190186039,0.0763548374195265,0.280624839063097,0.163999520135726,0.0753965059015161,0.121203051107355,0.0485715994699949,0.0538320348971779,0.280624839063097,0.178890318943031,0.0964851346191796,0.167319882682839,1.5,TRUE,1505,9.90292292613049e-11,"baseline_6p"
23,2012-11-01,"2012-11",0.106624731939145,0.174933996988684,0.345701509539989,0.119609809639254,0.156985165515091,0.362327219201428,0.110160170877692,0.181384428114877,0.356024859563466,0.137757823866454,0.209244291042297,0.362327219201428,0.0375621591779982,0.0484100780401451,0.134903293833436,0.170598553477233,0.0725467697631969,0.117892461390552,0.0553064239560882,0.0700905866694377,0.285320115973127,0.161660473145481,0.0653794159694875,0.109566165274566,0.0476559778699655,0.0498908573573041,0.285320115973127,0.172653584335013,0.0799501191700187,0.144200687674608,1.5,TRUE,1577,9.98322535750162e-11,"baseline_6p"
24,2012-12-01,"2012-12",0.0986633895416493,0.165198742323362,0.346585332911418,0.110178594549519,0.14880240430324,0.359636190633288,0.101943533562443,0.171278102236954,0.356616052998231,0.128156202193681,0.197689482796856,0.359636190633288,0.034423087798927,0.0445659658422345,0.134686943977493,0.166403305121939,0.0622987118027979,0.104358765057705,0.0523440044344061,0.0685734171652235,0.281832440757848,0.157428450632391,0.0558499081358723,0.0967887715570097,0.0452483419570662,0.0492599295817818,0.281832440757848,0.167314621213899,0.0681752428987677,0.127408986527855,1.5,TRUE,1576,9.99144100788385e-11,"baseline_6p"
25,2013-01-01,"2013-01",0.100405781733805,0.178042079657364,0.320935337893304,0.1126816617947,0.154743588825564,0.365606383601899,0.105286930637597,0.187361147547776,0.334231135454643,0.130993025189281,0.204251441113025,0.365606383601899,0.0310563259144164,0.0459483367684174,0.121353115447185,0.166192398537684,0.097029751029861,0.132056396406618,0.0458041104604017,0.0635207948724228,0.274710754028416,0.157432190548439,0.0886471466886774,0.122391608422777,0.0395140932528854,0.0453095443840291,0.274710754028416,0.177594340684069,0.114189553005192,0.166142961834418,1.5,TRUE,1847,9.98370275340221e-11,"baseline_6p"
26,2013-02-01,"2013-02",0.0852961593667551,0.170571109333607,0.340848927106349,0.0994485740567665,0.150100419901599,0.369613952506607,0.0894710882492788,0.179143010827323,0.353081085579544,0.115339863754457,0.196028511981899,0.369613952506607,0.0249221386452224,0.0440477958395531,0.136277376392327,0.158456217883548,0.0649989530152364,0.0950062737338945,0.0393549561303241,0.0527383160844587,0.257846335351243,0.150142600931551,0.0589013809631093,0.0880306223035676,0.0339499741167385,0.0376295921276579,0.257846335351243,0.165481099518156,0.0750270169307681,0.118881923845159,1.5,TRUE,1633,9.97766314014825e-11,"baseline_6p"
27,2013-03-01,"2013-03",0.0813515840845213,0.163432943365153,0.3411241830003,0.096126801562495,0.143333788885412,0.366274590309222,0.0854311246032701,0.171812887166965,0.353201754242729,0.111866352348977,0.187129076332125,0.366274590309222,0.0240398591084748,0.0427363962803114,0.140226798814793,0.169659506224444,0.0653110678585251,0.0939254265054647,0.0486679151051468,0.0553994727027986,0.260385005264171,0.160880957823599,0.0591466620899311,0.0870928390531108,0.0419774158619134,0.0398568093993022,0.260385005264171,0.176334928160935,0.0746781200677944,0.116662894857886,1.5,TRUE,1639,9.95612481347052e-11,"baseline_6p"
28,2013-04-01,"2013-04",0.0783553028605261,0.161618940252854,0.342149061390111,0.0929171141321327,0.141973984817912,0.366017591666696,0.0822738015341368,0.169811044529207,0.353974611362388,0.108089801127415,0.184960999568098,0.366017591666696,0.0226662226035378,0.0417229286490022,0.139839953058381,0.165725373118035,0.0611229634458776,0.089857113292575,0.0461938952205123,0.0538959198517257,0.257859494509614,0.157186548717899,0.0553224976499165,0.0833740046065893,0.039894783761216,0.0388524264705801,0.257859494509614,0.171562826419241,0.0697949118686761,0.111631370023705,1.5,TRUE,1577,9.9327879254929e-11,"baseline_6p"
29,2013-05-01,"2013-05",0.0669897611622891,0.144041276458023,0.350992491156614,0.080700533685553,0.127501572258764,0.363122368838812,0.0706057791848767,0.151652704523686,0.362156170620677,0.0939469540132807,0.167578358011059,0.363122368838812,0.0195532732113753,0.0370186381273082,0.150355893774999,0.175950623681305,0.0489430232689272,0.0730473413079081,0.059556891328234,0.0560288159315464,0.256014981399585,0.166918497821313,0.0440201705018358,0.067845337667017,0.052081054146573,0.0407398479444811,0.256014981399585,0.180777517904107,0.0550019611609145,0.090222830972537,1.5,TRUE,1562,9.91140503003862e-11,"baseline_6p"
30,2013-06-01,"2013-06",0.0616524498700533,0.12953466379431,0.351641544037231,0.0706495072054573,0.115712627898119,0.359522401780091,0.066395689814389,0.138117856626206,0.363444966433631,0.0819158541419251,0.150733182737578,0.359522401780091,0.0229507108659408,0.0372948804222226,0.1926925929781,0.136459436915418,0.0315656865125511,0.0433515533971602,0.0414912544317328,0.04835840418979,0.241092183237197,0.126225969180954,0.0272462862036316,0.0392883047007987,0.0362595815653397,0.0347093754490269,0.241092183237197,0.134763273085649,0.0312085116490537,0.0483663333123516,1.5,TRUE,2273,9.9251051821625e-11,"baseline_6p"
